device_id,visit_id,platform,video_seconds_spent
3263920193637930343:6917548331916822706,3263920193637930343:6917548331916822706:00000004,OTT,61
3175575347026957396:6917530171713015950,3175575347026957396:6917530171713015950:00000004,OTT,62
3270901265693403305:6917530164196809353,3270901265693403305:6917530164196809353:00000008,OTT,63
3292087796051191350:4611687214575783633,3292087796051191350:4611687214575783633:00000004,OTT,576
3292407352355141171:6917548305601797061,3292407352355141171:6917548305601797061:00000003,OTT,65
3292346464751565273:4611687153909371936,3292346464751565273:4611687153909371936:00000007,OTT,69
3292259008479991650:6917530160975578789,3292259008479991650:6917530160975578789:00000005,OTT,70
3292363103454565449:6917548301843697541,3292363103454565449:6917548301843697541:00000003,OTT,70
3292436238157679687:6917548344256497745,3292436238157679687:6917548344256497745:00000002,OTT,19526
3292418347471703440:4611687149077577800,3292418347471703440:4611687149077577800:00000002,OTT,71
3292384279791136019:6917530180302933104,3292384279791136019:6917530180302933104:00000003,OTT,72
3292392637797495792:6917530160975579056,3292392637797495792:6917530160975579056:00000002,OTT,72
3279814770236573844:6917530180839808990,3279814770236573844:6917530180839808990:00000006,OTT,74
3292444190289628940:4611705296388103412,3292444190289628940:4611705296388103412:00000003,OTT,74
3269978382449580140:6917530475582224568,3269978382449580140:6917530475582224568:00000003,OTT,75
3292451489586861743:4611687151761883956,3292451489586861743:4611687151761883956:00000004,OTT,76
3291530962133462622:4611687144782572373,3291530962133462622:4611687144782572373:00000005,OTT,76
3292458398041440865:4611705297461846363,3292458398041440865:4611705297461846363:00000002,OTT,77
3292361063345118647:6917548398480463467,3292361063345118647:6917548398480463467:00000004,OTT,79
3292091380201400308:4611687139413854693,3292091380201400308:4611687139413854693:00000004,OTT,79
3292385295550896993:6917530223252607593,3292385295550896993:6917530223252607593:00000002,OTT,80
3292445098675229526:4611705335042825530,3292445098675229526:4611705335042825530:00000002,OTT,80
3292432520863789324:6917530204462123406,3292432520863789324:6917530204462123406:00000003,OTT,80
3292363633883331155:6917530222715733883,3292363633883331155:6917530222715733883:00000004,OTT,81
3292388085132140139:6917530211441447667,3292388085132140139:6917530211441447667:00000003,OTT,82
3292382804469861066:4611687162499301503,3292382804469861066:4611687162499301503:00000002,OTT,82
3292427573061162200:4611705275987020644,3292427573061162200:4611705275987020644:00000003,OTT,83
3266606981298615198:6917530195872397026,3266606981298615198:6917530195872397026:00000006,OTT,83
3260503624463657440:6917530191577229222,3260503624463657440:6917530191577229222:00000005,OTT,84
3279832888556102700:6917530198019671462,3279832888556102700:6917530198019671462:00000009,OTT,84
3292422872219763760:6917530170102385622,3292422872219763760:6917530170102385622:00000005,OTT,84
3292213582758398983:4611687182900396083,3292213582758398983:4611687182900396083:00000005,OTT,85
3292458058739035099:6917548391501388683,3292458058739035099:6917548391501388683:00000002,OTT,85
3292423647461060415:6917548308823020356,3292423647461060415:6917548308823020356:00000003,OTT,86
3278452202599045230:6917548372711534665,3278452202599045230:6917548372711534665:00000024,OTT,86
3243286363294396603:4611687179142550954,3243286363294396603:4611687179142550954:00000002,OTT,86
3292267287029155659:6917548277684516397,3292267287029155659:6917548277684516397:00000003,OTT,86
3292437406389092197:6917530222715740439,3292437406389092197:6917530222715740439:00000003,OTT,86
3292434485811319329:6917530222178865211,3292434485811319329:6917530222178865211:00000003,OTT,86
3292457524015893358:6917530160975580334,3292457524015893358:6917530160975580334:00000002,OTT,86
3292449108027197614:4611705310883614525,3292449108027197614:4611705310883614525:00000002,OTT,87
3290511429239658122:6917530184597945228,3290511429239658122:6917530184597945228:00000003,OTT,44119
3292455578395421227:6917548353383424455,3292455578395421227:6917548353383424455:00000001,OTT,88
3278536186391262991:6917556583616765780,3278536186391262991:6917556583616765780:00000021,OTT,88
3292462907757129471:4611705392487989671,3292462907757129471:4611705392487989671:00000002,OTT,88
3292465018733833219:6917530170102388109,3292465018733833219:6917530170102388109:00000002,OTT,89
3292377221012067218:4611705297461842358,3292377221012067218:4611705297461842358:00000003,OTT,89
3291521182490373361:4611705300146194375,3291521182490373361:4611705300146194375:00000004,OTT,89
3292383985585854388:6917530152922521154,3292383985585854388:6917530152922521154:00000006,OTT,89
3278524096058324747:6917556583615089498,3278524096058324747:6917556583615089498:00000018,OTT,91
3267214755676814669:4611687205985985623,3267214755676814669:4611687205985985623:00000003,OTT,91
3292429155756613615:4611705268470808605,3292429155756613615:4611705268470808605:00000003,OTT,92
3292374603229821973:4611687143708823456,3292374603229821973:4611687143708823456:00000004,OTT,94
3278845784812407976:6917530157754361625,3278845784812407976:6917530157754361625:00000018,OTT,94
3292273355818256801:4611687151761884633,3292273355818256801:4611687151761884633:00000003,OTT,94
3292368948905374588:6917530204462121797,3292368948905374588:6917530204462121797:00000002,OTT,95
3292157801870636806:6917530166344304304,3292157801870636806:6917530166344304304:00000002,OTT,95
3292448021400748789:4611687241419349773,3292448021400748789:4611687241419349773:00000001,OTT,95
3292432520863789324:6917530204462123406,3292432520863789324:6917530204462123406:00000004,OTT,95
3255502686950469083:4611705285650870329,3255502686950469083:4611705285650870329:00000006,OTT,95
3292452251943537531:6917530222715734140,3292452251943537531:6917530222715734140:00000002,OTT,96
3280161369803796281:4611687202764777198,3280161369803796281:4611687202764777198:00000003,OTT,96
3292402065250386878:4611705292630015385,3292402065250386878:4611705292630015385:00000003,OTT,96
3279836202124796043:6917556570729490718,3279836202124796043:6917556570729490718:00000009,OTT,96
3292270774542896068:4611687214038912357,3292270774542896068:4611687214038912357:00000005,OTT,96
